benchmark,solver,wallclock time,result
cloud_new/non-incremental/AUFDTNIRA/smt-comp-018.smt2,cvc5gg,CRASHED,
cloud_new/non-incremental/AUFDTNIRA/smt-comp-018.smt2,vampirecloud,990.16,UNSATISFIABLE
cloud_new/non-incremental/BV/smt-comp-040.smt2,cvc5gg,TIMEOUT,
cloud_new/non-incremental/BV/smt-comp-040.smt2,par,1766.743,UNSATISFIABLE
cloud_new/non-incremental/UFDT/smt-comp-137.smt2,cvc5gg,CRASHED,
cloud_new/non-incremental/UFDT/smt-comp-137.smt2,vampirecloud,920.363,SATISFIABLE
cloud_new/non-incremental/QF_BV/smt-comp-064.smt2,cvc5gg,TIMEOUT,
cloud_new/non-incremental/QF_BV/smt-comp-064.smt2,par,TIMEOUT,
cloud_new/non-incremental/QF_BV/smt-comp-064.smt2,stp,TIMEOUT,
cloud_new/non-incremental/AUFLIRA/smt-comp-195.smt2,cvc5gg,1.98,UNSATISFIABLE
cloud_new/non-incremental/AUFLIRA/smt-comp-195.smt2,par,TIMEOUT,
cloud_new/non-incremental/AUFLIRA/smt-comp-195.smt2,vampirecloud,TIMEOUT,
cloud_new/non-incremental/UFLRA/smt-comp-401.smt2,cvc5gg,1.942,UNSATISFIABLE
cloud_new/non-incremental/UFLRA/smt-comp-401.smt2,vampirecloud,TIMEOUT,
cloud_new/non-incremental/UFDTLIRA/smt-comp-141.smt2,cvc5gg,2.024,UNSATISFIABLE
cloud_new/non-incremental/UFBV/smt-comp-332.smt2,cvc5gg,2.018,UNSATISFIABLE
cloud_new/non-incremental/UFBV/smt-comp-332.smt2,par,TIMEOUT,
cloud_new/non-incremental/AUFDTLIRA/smt-comp-172.smt2,cvc5gg,TIMEOUT,
cloud_new/non-incremental/AUFDTLIRA/smt-comp-172.smt2,vampirecloud,TIMEOUT,
cloud_new/non-incremental/AUFDTNIRA/smt-comp-015.smt2,cvc5gg,CRASHED,
cloud_new/non-incremental/AUFDTNIRA/smt-comp-015.smt2,vampirecloud,TIMEOUT,
cloud_new/non-incremental/LRA/smt-comp-231.smt2,cvc5gg,CRASHED,
cloud_new/non-incremental/LRA/smt-comp-231.smt2,par,1916.744,UNSATISFIABLE
cloud_new/non-incremental/LRA/smt-comp-231.smt2,vampirecloud,TIMEOUT,
cloud_new/non-incremental/AUFLIA/smt-comp-029.smt2,cvc5gg,TIMEOUT,
cloud_new/non-incremental/AUFLIA/smt-comp-029.smt2,vampirecloud,2.008,UNSATISFIABLE
cloud_new/non-incremental/UFNIA/smt-comp-406.smt2,cvc5gg,TIMEOUT,
cloud_new/non-incremental/UFNIA/smt-comp-406.smt2,par,TIMEOUT,
cloud_new/non-incremental/UFNIA/smt-comp-406.smt2,vampirecloud,TIMEOUT,
cloud_new/non-incremental/UFDTNIRA/smt-comp-381.smt2,cvc5gg,TIMEOUT,
cloud_new/non-incremental/UFDTNIRA/smt-comp-381.smt2,vampirecloud,TIMEOUT,
