benchmark,solver,wallclock time,result
parallel_new/non-incremental/AUFDTNIRA/smt-comp-021.smt2,vampireparallel,TIMEOUT,
parallel_new/non-incremental/AUFDTNIRA/smt-comp-022.smt2,cvc5ggparallel,CRASHED,
parallel_new/non-incremental/AUFDTNIRA/smt-comp-022.smt2,vampireparallel,TIMEOUT,
parallel_new/non-incremental/AUFDTNIRA/smt-comp-023.smt2,cvc5ggparallel,TIMEOUT,
parallel_new/non-incremental/AUFDTNIRA/smt-comp-023.smt2,vampireparallel,TIMEOUT,
parallel_new/non-incremental/AUFDTNIRA/smt-comp-024.smt2,cvc5ggparallel,CRASHED,
parallel_new/non-incremental/AUFDTNIRA/smt-comp-024.smt2,vampireparallel,TIMEOUT,
parallel_new/non-incremental/AUFDTNIRA/smt-comp-025.smt2,cvc5ggparallel,CRASHED,
parallel_new/non-incremental/AUFDTNIRA/smt-comp-025.smt2,vampireparallel,143.85,UNSATISFIABLE
parallel_new/non-incremental/AUFLIA/smt-comp-026.smt2,cvc5ggparallel,CRASHED,
parallel_new/non-incremental/AUFLIA/smt-comp-026.smt2,vampireparallel,74.694,UNSATISFIABLE
parallel_new/non-incremental/AUFLIA/smt-comp-027.smt2,cvc5ggparallel,TIMEOUT,
parallel_new/non-incremental/AUFLIA/smt-comp-027.smt2,vampireparallel,TIMEOUT,
parallel_new/non-incremental/AUFLIA/smt-comp-028.smt2,cvc5ggparallel,TIMEOUT,
parallel_new/non-incremental/AUFLIA/smt-comp-028.smt2,vampireparallel,5.945,UNSATISFIABLE
parallel_new/non-incremental/AUFLIA/smt-comp-029.smt2,cvc5ggparallel,PARSE_ERROR,UNSATISFIABLE
parallel_new/non-incremental/AUFLIA/smt-comp-029.smt2,vampireparallel,0.528,UNSATISFIABLE
parallel_new/non-incremental/AUFLIA/smt-comp-030.smt2,cvc5ggparallel,PARSE_ERROR,UNSATISFIABLE
parallel_new/non-incremental/AUFLIA/smt-comp-030.smt2,vampireparallel,11.414,UNSATISFIABLE
parallel_new/non-incremental/AUFLIA/smt-comp-031.smt2,cvc5ggparallel,PARSE_ERROR,UNSATISFIABLE
parallel_new/non-incremental/AUFLIA/smt-comp-031.smt2,vampireparallel,59.53,UNSATISFIABLE
parallel_new/non-incremental/AUFLIA/smt-comp-032.smt2,cvc5ggparallel,TIMEOUT,
parallel_new/non-incremental/AUFLIA/smt-comp-032.smt2,vampireparallel,1.101,UNSATISFIABLE
parallel_new/non-incremental/AUFLIA/smt-comp-033.smt2,cvc5ggparallel,PARSE_ERROR,UNSATISFIABLE
parallel_new/non-incremental/AUFLIA/smt-comp-033.smt2,vampireparallel,169.255,UNSATISFIABLE
parallel_new/non-incremental/AUFLIA/smt-comp-034.smt2,cvc5ggparallel,2.45,UNSATISFIABLE
parallel_new/non-incremental/AUFLIA/smt-comp-034.smt2,vampireparallel,0.378,UNSATISFIABLE
parallel_new/non-incremental/AUFLIA/smt-comp-192.smt2,cvc5ggparallel,TIMEOUT,
parallel_new/non-incremental/AUFLIA/smt-comp-192.smt2,vampireparallel,TIMEOUT,
parallel_new/non-incremental/AUFLIA/smt-comp-193.smt2,cvc5ggparallel,TIMEOUT,
parallel_new/non-incremental/AUFLIA/smt-comp-193.smt2,vampireparallel,1789.112,UNSATISFIABLE
parallel_new/non-incremental/AUFLIA/smt-comp-194.smt2,cvc5ggparallel,PARSE_ERROR,UNSATISFIABLE
parallel_new/non-incremental/AUFLIA/smt-comp-194.smt2,vampireparallel,TIMEOUT,
parallel_new/non-incremental/AUFLIA/smt-comp-195.smt2,cvc5ggparallel,PARSE_ERROR,UNSATISFIABLE
parallel_new/non-incremental/AUFLIA/smt-comp-195.smt2,vampireparallel,73.478,UNSATISFIABLE
parallel_new/non-incremental/AUFLIA/smt-comp-196.smt2,cvc5ggparallel,2.487,UNSATISFIABLE
parallel_new/non-incremental/AUFLIA/smt-comp-196.smt2,vampireparallel,TIMEOUT,
parallel_new/non-incremental/AUFLIA/smt-comp-197.smt2,cvc5ggparallel,PARSE_ERROR,UNSATISFIABLE
parallel_new/non-incremental/AUFLIA/smt-comp-197.smt2,vampireparallel,TIMEOUT,
parallel_new/non-incremental/AUFLIA/smt-comp-198.smt2,cvc5ggparallel,PARSE_ERROR,UNSATISFIABLE
parallel_new/non-incremental/AUFLIA/smt-comp-198.smt2,vampireparallel,TIMEOUT,
parallel_new/non-incremental/AUFLIA/smt-comp-199.smt2,cvc5ggparallel,TIMEOUT,
parallel_new/non-incremental/AUFLIA/smt-comp-199.smt2,vampireparallel,TIMEOUT,
parallel_new/non-incremental/AUFLIRA/smt-comp-200.smt2,cvc5ggparallel,PARSE_ERROR,UNSATISFIABLE
parallel_new/non-incremental/AUFLIRA/smt-comp-200.smt2,parallelpar,TIMEOUT,
parallel_new/non-incremental/AUFLIRA/smt-comp-200.smt2,vampireparallel,TIMEOUT,
parallel_new/non-incremental/AUFLIRA/smt-comp-201.smt2,cvc5ggparallel,PARSE_ERROR,UNSATISFIABLE
parallel_new/non-incremental/AUFLIRA/smt-comp-201.smt2,parallelpar,TIMEOUT,
parallel_new/non-incremental/AUFLIRA/smt-comp-201.smt2,vampireparallel,TIMEOUT,
parallel_new/non-incremental/AUFLIRA/smt-comp-202.smt2,cvc5ggparallel,PARSE_ERROR,UNSATISFIABLE
parallel_new/non-incremental/AUFLIRA/smt-comp-202.smt2,parallelpar,TIMEOUT,
parallel_new/non-incremental/AUFLIRA/smt-comp-202.smt2,vampireparallel,TIMEOUT,
parallel_new/non-incremental/AUFLIRA/smt-comp-203.smt2,cvc5ggparallel,PARSE_ERROR,UNSATISFIABLE
parallel_new/non-incremental/AUFLIRA/smt-comp-203.smt2,parallelpar,TIMEOUT,
parallel_new/non-incremental/AUFLIRA/smt-comp-203.smt2,vampireparallel,TIMEOUT,
parallel_new/non-incremental/AUFLIRA/smt-comp-204.smt2,cvc5ggparallel,PARSE_ERROR,UNSATISFIABLE
parallel_new/non-incremental/AUFLIRA/smt-comp-204.smt2,parallelpar,TIMEOUT,
parallel_new/non-incremental/AUFLIRA/smt-comp-204.smt2,vampireparallel,TIMEOUT,
parallel_new/non-incremental/AUFLIRA/smt-comp-205.smt2,cvc5ggparallel,PARSE_ERROR,UNSATISFIABLE
parallel_new/non-incremental/AUFLIRA/smt-comp-205.smt2,parallelpar,TIMEOUT,
parallel_new/non-incremental/AUFLIRA/smt-comp-205.smt2,vampireparallel,TIMEOUT,
parallel_new/non-incremental/AUFLIRA/smt-comp-206.smt2,cvc5ggparallel,PARSE_ERROR,UNSATISFIABLE
parallel_new/non-incremental/AUFLIRA/smt-comp-206.smt2,parallelpar,TIMEOUT,
parallel_new/non-incremental/AUFLIRA/smt-comp-206.smt2,vampireparallel,TIMEOUT,
parallel_new/non-incremental/AUFLIRA/smt-comp-207.smt2,cvc5ggparallel,PARSE_ERROR,UNSATISFIABLE
parallel_new/non-incremental/AUFLIRA/smt-comp-207.smt2,parallelpar,TIMEOUT,
